Year,Q1,Q2,Q3,Q4
2011,1108387.0,4195768.0,8925699.0,2197392.773806913
2012,978558.5689700105,3849244.808631408,8655186.036731984,2034632.163234705
2013,1023353.7309154711,4397477.083703434,10113076.363653332,2385673.108794513
2014,1186900.1934644312,5077136.72193593,12722924.709292753,3046501.0478945198
2015,1728420.6526689457,5837276.388023475,13051720.079450252,2982038.0481939316
