Year,Aiplane,Railway,Sea,Road
2011,11671154.764588237,3765.0,947847.928076118,3804479.28114255
2012,10992903.143185377,0.0,790469.062856354,3734249.371526378
2013,12302448.304937348,0.0,806960.2766580448,4810172.010069944
2014,14057215.432222964,6894.2643788973,701345.4545095792,7268006.91924037
2015,14981102.03514621,5338.589843012201,632160.9708741159,7980853.694154887
